UID,UNAME,TYPE,PID,PNAME,nVisees   ,tauxDeReponse   ,enEmploi   ,rechercheEmploi   ,auxEtudes   ,pInactives   ,tauxDeChomage   ,emploiTempsPlein   ,dureeDeRecherche    ,salaireHebdoBrut   ,emploiEnRapport   ,enRapport   
976002,EPM,1,5358,"Génie civil, de la construction et du transport", 36  , 52.8   , 73.7   , 5.3   , 15.8   , 5.3   , 6.7   , 100.0   , 12    ,1 013   , 85.7   , 100.0   
976002,EPM,1,5359,"Génie électrique, électronique et des communications", 28  , 64.3   , 72.2   , 5.6   , 22.2   , 0.0   , 7.1   , 100.0   , 19    ,1 107   , 92.3   , 100.0   
976002,EPM,1,5363,Génie industriel et administratif, 34  , 52.9   , 94.4   , 0.0   , 5.6   , 0.0   , 0.0   , 94.1   , 12    ,1 282   , 100.0   , 100.0   
976002,EPM,1,5369,Génie physique, 7  , 100.0   , 28.6   , 14.3   , 57.1   , 0.0   , 33.3   , 100.0   ,x    ,x   , 100.0   , 75.0   
976002,EPM,1,5373,Génie informatique et de la construction des ordinateurs, 12  , 83.3   , 70.0   , 0.0   , 30.0   , 0.0   , 0.0   , 100.0   , 3    ,1 718   , 100.0   , 100.0   
977000,US,0,5104,Sciences infirmières et nursing, 175  , 69.1   , 89.3   , 0.8   , 5.0   , 5.0   , 0.9   , 97.2   , 1    ,1 110   , 94.3   , 83.3   
977000,US,0,5106,Médecine, 154  , 64.3   , 1.0   , 0.0   , 97.0   , 2.0   , 0.0   , 100.0   ,x    ,x   , 100.0   , 87.5   
977000,US,0,5112,Pharmacie et sciences pharmaceutiques, 58  , 81.0   , 21.3   , 2.1   , 76.6   , 0.0   , 9.1   , 90.0   , 15    , 939   , 55.6   , 97.2   
977000,US,0,5200,Sciences biologiques, 88  , 65.9   , 36.2   , 3.4   , 60.3   , 0.0   , 8.7   , 85.7   , 7    , 818   , 72.2   , 94.3   
977000,US,0,5211,Microbiologie, 23  , 65.2   , 26.7   , 0.0   , 73.3   , 0.0   , 0.0   , 75.0   , 5    , 769   , 100.0   , 90.9   
977000,US,0,5214,Biochimie, 11  , 81.8   , 33.3   , 0.0   , 66.7   , 0.0   , 0.0   , 100.0   , 7    , 625   , 66.7   , 83.3   
977000,US,0,5230,Mathématiques, 13  , 84.6   , 45.5   , 0.0   , 54.5   , 0.0   , 0.0   , 80.0   , 11    ,1 099   , 75.0   , 83.3   
977000,US,0,5240,Sciences physiques, 16  , 68.8   , 18.2   , 0.0   , 81.8   , 0.0   , 0.0   , 50.0   ,x    ,x   , 0.0   , 100.0   
977000,US,0,5245,Chimie, 18  , 66.7   , 25.0   , 0.0   , 75.0   , 0.0   , 0.0   , 100.0   , 8    , 881   , 100.0   , 100.0   
977000,US,0,5340,Sciences de l'informatique, 71  , 64.8   , 82.6   , 2.2   , 15.2   , 0.0   , 2.6   , 100.0   , 4    , 923   , 94.7   , 100.0   
977000,US,0,5355,Génie biologique et biomédical, 24  , 70.8   , 64.7   , 5.9   , 23.5   , 5.9   , 8.3   , 100.0   , 7    , 983   , 81.8   , 100.0   
977000,US,0,5358,"Génie civil, de la construction et du transport", 57  , 68.4   , 92.3   , 0.0   , 7.7   , 0.0   , 0.0   , 100.0   , 3    ,1 068   , 100.0   , 100.0   
977000,US,0,5359,"Génie électrique, électronique et des communications", 54  , 74.1   , 80.0   , 5.0   , 15.0   , 0.0   , 5.9   , 100.0   , 5    ,1 004   , 90.6   , 100.0   
977000,US,0,5360,Génie mécanique, 102  , 64.7   , 75.8   , 3.0   , 21.2   , 0.0   , 3.8   , 96.0   , 6    ,1 082   , 91.7   , 100.0   
977000,US,0,5373,Génie informatique et de la construction des ordinateurs, 38  , 63.2   , 79.2   , 4.2   , 16.7   , 0.0   , 5.0   , 100.0   , 7    , 951   , 94.7   , 100.0   
977000,US,0,5380,Sciences de l'activité physique, 76  , 69.7   , 81.1   , 0.0   , 18.9   , 0.0   , 0.0   , 74.4   , 9    , 723   , 84.4   , 100.0   
977000,US,0,5420,Psychologie, 48  , 81.3   , 17.9   , 2.6   , 76.9   , 2.6   , 12.5   , 85.7   , 14    , 506   , 50.0   , 90.0   
977000,US,0,5434,Économique, 10  , 70.0   , 28.6   , 0.0   , 71.4   , 0.0   , 0.0   , 50.0   ,x    ,x   , 100.0   , 100.0   
977000,US,0,5435,Histoire, 35  , 77.1   , 29.6   , 3.7   , 63.0   , 3.7   , 11.1   , 87.5   , 3    , 543   , 14.3   , 82.4   
977000,US,0,5436,Géographie, 35  , 68.6   , 50.0   , 0.0   , 50.0   , 0.0   , 0.0   , 100.0   , 6    , 912   , 91.7   , 91.7   
977000,US,0,5437,Sciences politiques, 44  , 77.3   , 38.2   , 0.0   , 61.8   , 0.0   , 0.0   , 100.0   , 7    , 773   , 53.8   , 90.5   
977000,US,0,5473,Psychoéducation, 70  , 78.6   , 36.4   , 1.8   , 56.4   , 5.5   , 4.8   , 95.0   , 11    , 815   , 94.7   , 100.0   
977000,US,0,5477,Service social, 64  , 71.9   , 89.1   , 0.0   , 10.9   , 0.0   , 0.0   , 95.1   , 3    , 801   , 92.3   , 80.0   
977000,US,0,5479,"Orientation, information scolaire et professionnelle", 36  , 69.4   , 44.0   , 0.0   , 52.0   , 4.0   , 0.0   , 81.8   , 3    , 630   , 88.9   , 100.0   
977000,US,0,5495,Philosophie, 10  , 90.0   , 44.4   , 0.0   , 44.4   , 11.1   , 0.0   , 100.0   , 1    , 860   , 25.0   , 100.0   
977000,US,0,5498,Sciences religieuses, 8  , 100.0   , 50.0   , 12.5   , 25.0   , 12.5   , 20.0   , 75.0   ,n.d.    , 653   , 66.7   , 100.0   
977000,US,0,5571,Traduction, 55  , 74.5   , 87.8   , 2.4   , 7.3   , 2.4   , 2.7   , 91.7   , 13    , 839   , 87.9   , 33.3   
977000,US,0,5590,"Français, en général, et français, langue maternelle", 106  , 78.3   , 69.9   , 4.8   , 22.9   , 2.4   , 6.5   , 84.5   , 11    , 752   , 81.6   , 89.5   
977000,US,0,5594,"Anglais, en général, et anglais, langue maternelle", 7  , 71.4   , 40.0   , 0.0   , 60.0   , 0.0   , 0.0   , 50.0   ,x    ,x   , 100.0   , 66.7   
977000,US,0,5600,Droit, 257  , 68.5   , 50.6   , 8.5   , 34.7   , 6.3   , 14.4   , 94.4   , 6    , 785   , 92.9   , 75.4   
977000,US,0,5704,Formation des enseignants au préscolaire et au primaire, 160  , 76.3   , 91.0   , 2.5   , 5.7   , 0.8   , 2.6   , 61.3   , 4    , 719   , 95.6   , 71.4   
977000,US,0,5705,Formation des enseignants spécialistes au primaire et au secondaire, 115  , 68.7   , 92.4   , 1.3   , 5.1   , 1.3   , 1.4   , 64.4   , 4    , 774   , 95.7   , 25.0   
977000,US,0,5706,Formation des enseignants spécialistes en adaptation scolaire (orthopédagogie), 86  , 74.4   , 92.2   , 3.1   , 1.6   , 3.1   , 3.3   , 71.2   , 3    , 779   , 97.6   , 100.0   
977000,US,0,5708,Formation des enseignants au secondaire, 85  , 69.4   , 88.1   , 1.7   , 8.5   , 1.7   , 1.9   , 86.5   , 3    , 789   , 88.9   , 100.0   
977000,US,0,5709,Formation des enseignants de l'enseignement professionnel au secondaire et au collégial, 35  , 65.7   , 100.0   , 0.0   , 0.0   , 0.0   , 0.0   , 95.7   , 2    ,1 313   , 90.9   ,-   
977000,US,0,5800,Administration des affaires, 26  , 84.6   , 72.7   , 9.1   , 18.2   , 0.0   , 11.1   , 93.8   , 2    , 970   , 86.7   , 75.0   
977000,US,0,5802,Comptabilité et sciences comptables, 130  , 77.7   , 93.1   , 1.0   , 5.0   , 1.0   , 1.1   , 100.0   , 5    , 840   , 97.9   , 40.0   
977000,US,0,5803,Information de gestion, 19  , 89.5   , 94.1   , 0.0   , 0.0   , 5.9   , 0.0   , 100.0   , 5    , 932   , 81.3   ,-   
977000,US,0,5804,Opérations bancaires et finance, 93  , 73.1   , 70.6   , 5.9   , 20.6   , 2.9   , 7.7   , 97.9   , 12    , 880   , 93.6   , 100.0   
977000,US,0,5809,Marketing et achats, 71  , 69.0   , 83.7   , 8.2   , 8.2   , 0.0   , 8.9   , 92.7   , 13    , 915   , 89.5   , 75.0   
977000,US,0,5815,Gestion du personnel, 35  , 74.3   , 76.9   , 15.4   , 3.8   , 3.8   , 16.7   , 95.0   , 8    , 842   , 78.9   , 100.0   
977000,US,0,5905,Musique, 24  , 66.7   , 50.0   , 0.0   , 37.5   , 12.5   , 0.0   , 62.5   , 1    , 800   , 0.0   , 33.3   
977000,US,0,8000,Études plurisectorielles, 53  , 75.5   , 65.0   , 5.0   , 22.5   , 7.5   , 7.1   , 80.8   , 12    , 915   , 61.9   , 77.8   
977000,US,1,5102,Sciences fondamentales et sciences appliquées de la santé, 38  , 81.6   , 45.2   , 3.2   , 51.6   , 0.0   , 6.7   , 71.4   , 9    , 913   , 70.0   , 81.3   
977000,US,1,5200,Sciences biologiques, 24  , 79.2   , 78.9   , 10.5   , 10.5   , 0.0   , 11.8   , 100.0   , 11    , 973   , 80.0   , 50.0   
977000,US,1,5340,Sciences de l'informatique, 13  , 84.6   , 81.8   , 9.1   , 9.1   , 0.0   , 10.0   , 88.9   , 11    ,1 067   , 62.5   , 0.0   
977000,US,1,5350,Ingénierie, 42  , 78.6   , 93.9   , 3.0   , 3.0   , 0.0   , 3.1   , 93.5   , 3    ,1 637   , 96.6   , 0.0   
977000,US,1,5358,"Génie civil, de la construction et du transport", 18  , 72.2   , 84.6   , 0.0   , 15.4   , 0.0   , 0.0   , 100.0   , 8    ,1 225   , 90.9   , 100.0   
977000,US,1,5359,"Génie électrique, électronique et des communications", 22  , 72.7   , 56.3   , 0.0   , 43.8   , 0.0   , 0.0   , 100.0   , 11    ,1 160   , 88.9   , 100.0   
977000,US,1,5360,Génie mécanique, 13  , 69.2   , 88.9   , 0.0   , 11.1   , 0.0   , 0.0   , 100.0   , 11    ,1 260   , 75.0   , 100.0   
977000,US,1,5380,Sciences de l'activité physique, 5  , 100.0   , 100.0   , 0.0   , 0.0   , 0.0   , 0.0   , 80.0   , 2    , 782   , 100.0   ,-   
977000,US,1,5435,Histoire, 17  , 76.5   , 92.3   , 0.0   , 0.0   , 7.7   , 0.0   , 100.0   , 13    , 900   , 66.7   ,-   
977000,US,1,5473,Psychoéducation, 61  , 73.8   , 91.1   , 0.0   , 4.4   , 4.4   , 0.0   , 90.2   , 4    , 859   , 100.0   , 100.0   
977000,US,1,5477,Service social, 18  , 72.2   , 76.9   , 7.7   , 15.4   , 0.0   , 9.1   , 100.0   , 5    , 768   , 100.0   , 100.0   
977000,US,1,5479,"Orientation, information scolaire et professionnelle", 23  , 65.2   , 80.0   , 6.7   , 6.7   , 6.7   , 7.7   , 75.0   , 11    , 917   , 88.9   , 0.0   
977000,US,1,5495,Philosophie, 6  , 66.7   , 100.0   , 0.0   , 0.0   , 0.0   , 0.0   , 100.0   , 4    , 690   , 75.0   ,-   
977000,US,1,5498,Sciences religieuses, 15  , 80.0   , 66.7   , 0.0   , 16.7   , 16.7   , 0.0   , 37.5   , 2    , 656   , 100.0   , 100.0   
977000,US,1,5590,"Français, en général, et français, langue maternelle", 12  , 75.0   , 66.7   , 0.0   , 33.3   , 0.0   , 0.0   , 66.7   , 4    , 970   , 100.0   , 100.0   
977000,US,1,5600,Droit, 38  , 63.2   , 70.8   , 8.3   , 20.8   , 0.0   , 10.5   , 94.1   , 7    ,1 325   , 81.3   , 80.0   
977000,US,1,5700,Études pluridisciplinaires en sciences de l'éducation, 13  , 84.6   , 36.4   , 0.0   , 54.5   , 9.1   , 0.0   , 100.0   , 4    , 953   , 100.0   , 100.0   
977000,US,1,5704,Formation des enseignants au préscolaire et au primaire, 21  , 85.7   , 100.0   , 0.0   , 0.0   , 0.0   , 0.0   , 94.4   , 29    ,1 210   , 100.0   ,-   
977000,US,1,5706,Formation des enseignants spécialistes en adaptation scolaire (orthopédagogie), 7  , 71.4   , 80.0   , 0.0   , 20.0   , 0.0   , 0.0   , 100.0   , 1    ,1 067   , 100.0   , 100.0   
977000,US,1,5710,Formation des enseignants au collégial, 9  , 66.7   , 100.0   , 0.0   , 0.0   , 0.0   , 0.0   , 100.0   ,n.d.    ,1 340   , 100.0   ,-   
977000,US,1,5800,Administration des affaires, 307  , 71.3   , 95.4   , 2.3   , 1.8   , 0.5   , 2.3   , 98.6   , 10    ,1 286   , 88.3   , 50.0   
977000,US,1,5804,Opérations bancaires et finance, 26  , 61.5   , 100.0   , 0.0   , 0.0   , 0.0   , 0.0   , 100.0   , 1    ,1 243   , 93.8   ,-   
977000,US,1,5850,Administration scolaire, 129  , 71.3   , 95.7   , 0.0   , 0.0   , 4.3   , 0.0   , 97.7   , 2    ,1 731   , 97.7   ,-   
977000,US,1,5870,Coopération, 6  , 83.3   , 60.0   , 0.0   , 20.0   , 20.0   , 0.0   , 100.0   , 24    , 846   , 100.0   , 100.0   
977000,US,1,8076,Environnement (qualité du milieu et pollution), 89  , 68.5   , 90.2   , 8.2   , 0.0   , 1.6   , 8.3   , 94.5   , 8    ,1 012   , 78.8   ,-   
978001,UQAM,0,5200,Sciences biologiques, 34  , 82.4   , 35.7   , 3.6   , 57.1   , 3.6   , 9.1   , 90.0   , 28    , 778   , 66.7   , 100.0   
978001,UQAM,0,5214,Biochimie, 59  , 79.7   , 46.8   , 10.6   , 40.4   , 2.1   , 18.5   , 77.3   , 20    , 850   , 70.6   , 84.2   
978001,UQAM,0,5230,Mathématiques, 20  , 75.0   , 20.0   , 6.7   , 66.7   , 6.7   , 25.0   , 100.0   , 9    , 696   , 66.7   , 80.0   
978001,UQAM,0,5234,Actuariat, 81  , 63.0   , 92.2   , 2.0   , 5.9   , 0.0   , 2.1   , 100.0   , 12    ,1 000   , 87.2   , 66.7   
978001,UQAM,0,5245,Chimie, 18  , 66.7   , 66.7   , 16.7   , 16.7   , 0.0   , 20.0   , 87.5   , 4    , 750   , 85.7   , 100.0   
978001,UQAM,0,5330,Design de l'environnement, 63  , 73.0   , 58.7   , 2.2   , 39.1   , 0.0   , 3.6   , 92.6   , 11    , 713   , 64.0   , 77.8   
978001,UQAM,0,5338,Urbanisme, 59  , 79.7   , 78.7   , 4.3   , 12.8   , 4.3   , 5.1   , 86.5   , 6    , 789   , 81.3   , 83.3   
978001,UQAM,0,5340,Sciences de l'informatique, 80  , 62.5   , 92.0   , 0.0   , 6.0   , 2.0   , 0.0   , 97.8   , 10    ,1 003   , 88.9   , 100.0   
978001,UQAM,0,5359,"Génie électrique, électronique et des communications", 7  , 85.7   , 66.7   , 16.7   , 16.7   , 0.0   , 20.0   , 100.0   , 15    , 949   , 75.0   , 100.0   
978001,UQAM,0,5380,Sciences de l'activité physique, 55  , 70.9   , 84.6   , 0.0   , 15.4   , 0.0   , 0.0   , 69.7   , 4    , 868   , 91.3   , 66.7   
978001,UQAM,0,5410,Communications et journalisme, 251  , 68.1   , 69.0   , 4.1   , 24.0   , 2.9   , 5.6   , 91.5   , 9    , 779   , 82.4   , 56.1   
978001,UQAM,0,5420,Psychologie, 129  , 71.3   , 30.4   , 2.2   , 64.1   , 3.3   , 6.7   , 71.4   , 9    , 750   , 60.0   , 94.9   
978001,UQAM,0,5434,Économique, 41  , 68.3   , 42.9   , 0.0   , 53.6   , 3.6   , 0.0   , 91.7   , 3    ,1 264   , 63.6   , 93.3   
978001,UQAM,0,5435,Histoire, 43  , 72.1   , 45.2   , 3.2   , 48.4   , 3.2   , 6.7   , 64.3   , 6    , 739   , 11.1   , 93.3   
978001,UQAM,0,5436,Géographie, 28  , 71.4   , 40.0   , 15.0   , 40.0   , 5.0   , 27.3   , 100.0   , 6    , 899   , 100.0   , 87.5   
978001,UQAM,0,5437,Sciences politiques, 152  , 75.7   , 33.0   , 6.1   , 58.3   , 2.6   , 15.6   , 81.6   , 13    , 805   , 41.9   , 88.1   
978001,UQAM,0,5438,Sociologie, 43  , 72.1   , 38.7   , 9.7   , 51.6   , 0.0   , 20.0   , 83.3   , 6    , 804   , 30.0   , 87.5   
978001,UQAM,0,5471,Sexologie, 84  , 76.2   , 60.9   , 3.1   , 35.9   , 0.0   , 4.9   , 79.5   , 8    , 662   , 58.1   , 82.6   
978001,UQAM,0,5477,Service social, 118  , 61.9   , 89.0   , 1.4   , 2.7   , 6.8   , 1.5   , 84.6   , 4    , 865   , 98.2   , 100.0   
978001,UQAM,0,5478,Animation sociale ou communautaire, 179  , 67.0   , 72.5   , 6.7   , 18.3   , 2.5   , 8.4   , 88.5   , 9    , 699   , 79.2   , 81.8   
978001,UQAM,0,5479,"Orientation, information scolaire et professionnelle", 55  , 61.8   , 79.4   , 2.9   , 14.7   , 2.9   , 3.6   , 96.3   , 6    , 788   , 88.5   , 80.0   
978001,UQAM,0,5498,Sciences religieuses, 6  , 83.3   , 40.0   , 0.0   , 60.0   , 0.0   , 0.0   , 100.0   ,x    ,x   , 0.0   , 66.7   
